The current process just got forked. Disabling parallelism to avoid deadlocks...
To disable this warning, please explicitly set TOKENIZERS_PARALLELISM=(true | false)
Better speed can be achieved with apex installed from https://www.github.com/nvidia/apex.
------------------beginning epoch------------------
latest loss:tensor(12.1887, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.1570, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.8899, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.2705, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.5612, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.2307, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.7995, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.9595, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.2999, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8368, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.4797, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.4748, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.6581, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.1187, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.7904, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.9492, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.4429, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6986, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.7309, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.6735, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2621, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.9686, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3944, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2492, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.1577, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.2756, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8950, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.8039, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2247, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.8035, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2356, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.4377, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.0489, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8589, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.5198, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2087, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.1725, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(1.9417, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.3889, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.6899, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.1871, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.9201, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.3771, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.0570, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.5108, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(11.1646, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2946, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(10.4285, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.1531, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8771, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2922, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.4115, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.9553, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.0350, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8715, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.1738, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.9528, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.8967, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.5985, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.6104, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.8414, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.1660, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.4531, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(2.6741, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.8134, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(9.3671, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.1629, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.8892, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.6046, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.4780, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(12.2157, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.9079, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.2541, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(7.2374, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.3219, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(6.3261, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(3.2766, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(8.2666, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(4.2666, device='cuda:0', grad_fn=<AddBackward0>)
latest loss:tensor(5.8871, device='cuda:0', grad_fn=<AddBackward0>)
